,Industry Code,Description,Total Output,Wage and Salary Employment,Employee Compensation,Proprietor Employment,Proprietor Income,Other Property Income,Taxes on Production and Imports Net of Subsidies
72,72,623 -  Nursing and Residential Care Facilities,"$37,541,210,989.43","332,025.26","$21,513,257,741.64","23,562.72","$186,961,426.37","$2,035,514,621.02","$792,192,619.53"
73,73,624 -  Social Assistance,"$69,790,705,030.25","1,033,322.43","$38,848,907,920.55","151,024.79","$3,388,280,785.66","$4,484,922,621.14","$(286,594,934.55)"
74,74,"711 -  Performing Arts, Spectator Sports, and Related Industries","$65,253,320,722.98","92,262.70","$16,469,203,202.81","285,924.02","$12,164,925,720.69","$7,558,182,900.35","$1,126,678,396.62"
75,75,"712 -  Museums, Historical Sites, and Similar Institutions","$2,668,003,705.61","19,456.33","$1,499,186,329.48",779.55,"$(2,168,195.16)","$65,076,179.32","$31,101,452.72"
76,76,"713 -  Amusement, Gambling, and Recreation Industries","$29,869,145,114.19","225,050.74","$10,169,409,675.46","36,486.73","$1,512,653,977.76","$5,278,442,737.38","$1,663,872,468.68"
77,77,721 -  Accommodation,"$35,534,798,040.87","187,579.22","$12,655,829,885.67","30,797.34","$783,744,749.07","$8,436,570,470.94","$1,703,229,497.26"
78,78,722 -  Food Services and Drinking Places,"$198,922,651,752.14","1,604,265.74","$65,774,240,649.68","145,755.76","$4,848,864,970.77","$32,674,165,129.42","$13,861,445,238.91"
79,79,811 -  Repair and Maintenance,"$67,592,462,938.95","246,212.11","$19,960,492,966.23","175,000.11","$10,966,237,753.59","$6,196,884,217.74","$5,850,977,685.05"
80,80,812 -  Personal and Laundry Services,"$35,351,007,452.88","205,754.43","$9,935,275,428.48","423,546.35","$8,083,651,342.26","$(843,227,395.61)","$1,404,300,505.39"
81,81,"813 -  Religious, Grantmaking, Civic, Professional, and Similar Organizations","$49,705,395,977.17","454,947.52","$26,648,492,348.84","22,122.68","$327,484,803.27","$3,707,403,198.32","$454,863,954.05"
82,82,814 -  Private Households,"$6,139,339,372.04","118,544.43","$6,139,339,372.04",0.00,$0.00,$0.00,$0.00
83,83,9A -  Government Enterprises,"$105,482,475,886.04","297,998.70","$40,995,270,536.23",0.00,$0.00,"$10,147,897,140.65","$(7,527,560,280.99)"
84,84,93 -  Non-NAICS,$0.00,0.00,$0.00,0.00,$0.00,$0.00,$0.00
85,85,9B -  Administrative Government,"$396,324,135,643.63","2,566,427.18","$318,691,112,921.25",0.00,$0.00,"$77,633,022,722.38",$0.00
86,86,Vegetable and melon farming,"$14,120,331,180.93","42,166.67","$1,419,978,541.10","8,676.31","$1,133,494,217.48","$3,428,269,290.38","$252,278,116.53"
87,87,Fruit farming,"$17,230,428,407.76","78,514.04","$2,213,151,302.93","17,791.61","$3,074,537,572.80","$4,251,547,164.69","$309,927,034.88"
,,,,,,,,,"$246,112,133,974.59"
