PayingCode, PayingDescription, ReceivingCode, ReceivingDescription, TransferCode, TransferDescription, Value
3,113 -  Forestry and Logging,11,311 -  Food Manufacturing,15055,Industry Use,3.078125988669177
3,113 -  Forestry and Logging,12,312 -  Beverage and Tobacco Product Manufacturing,15055,Industry Use,0.001005625160293716
3,113 -  Forestry and Logging,14,314 -  Textile Product Mills,15055,Industry Use,0.03973483183784744
3,113 -  Forestry and Logging,16,316 -  Leather and Allied Product Manufacturing,15055,Industry Use,0.022288741360371706
3,113 -  Forestry and Logging,17,321 -  Wood Product Manufacturing,15055,Industry Use,1.803210977679804
3,113 -  Forestry and Logging,18,322 -  Paper Manufacturing,15055,Industry Use,7.897518495887431
3,113 -  Forestry and Logging,19,323 -  Printing and Related Support Activities,15055,Industry Use,181.22591744015554
3,113 -  Forestry and Logging,20,324 -  Petroleum and Coal Products Manufacturing,15055,Industry Use,189873.67237814906
3,113 -  Forestry and Logging,21,325 -  Chemical Manufacturing,15055,Industry Use,552.4325710866218
3,113 -  Forestry and Logging,22,326 -  Plastics and Rubber Products Manufacturing,15055,Industry Use,28.174331380157415
3,113 -  Forestry and Logging,23,327 -  Nonmetallic Mineral Product Manufacturing,15055,Industry Use,10.397706773074644
3,113 -  Forestry and Logging,24,331 -  Primary Metal Manufacturing,15055,Industry Use,137.01826880691584
3,113 -  Forestry and Logging,25,332 -  Fabricated Metal Product Manufacturing,15055,Industry Use,154.88202405629028
3,113 -  Forestry and Logging,26,333 -  Machinery Manufacturing,15055,Industry Use,2.6245849563526766
3,113 -  Forestry and Logging,27,334 -  Computer and Electronic Product Manufacturing,15055,Industry Use,8.411210955031232
3,113 -  Forestry and Logging,28,"335 -  Electrical Equipment, Appliance, and Component Manufacturing",15055,Industry Use,6.3403995088363585
3,113 -  Forestry and Logging,29,336 -  Transportation Equipment Manufacturing,15055,Industry Use,1.5992348863067813
3,113 -  Forestry and Logging,30,337 -  Furniture and Related Product Manufacturing,15055,Industry Use,0.41237839723122327
3,113 -  Forestry and Logging,31,339 -  Miscellaneous Manufacturing,15055,Industry Use,50.66598374502106
3,113 -  Forestry and Logging,32,42 -  Wholesale Trade,15055,Industry Use,7946154.191964603
3,113 -  Forestry and Logging,42,481 -  Air Transportation,15055,Industry Use,284231.6344317678
3,113 -  Forestry and Logging,43,482 -  Rail Transportation,15055,Industry Use,26363.634930932338
3,113 -  Forestry and Logging,45,484 -  Truck Transportation,15055,Industry Use,2915930.2518113996
3,113 -  Forestry and Logging,48,487-488 -  Scenic and Sightseeing Transportation and Support Activities for Transportation,15055,Industry Use,2645.6957363207835
3,113 -  Forestry and Logging,49,492 -  Couriers and Messengers,15055,Industry Use,158.70628935512985
3,113 -  Forestry and Logging,51,513 -  Publishing Industries,15055,Industry Use,415.53428249791097
3,113 -  Forestry and Logging,52,512 -  Motion Picture and Sound Recording Industries,15055,Industry Use,12.715788410459966
3,113 -  Forestry and Logging,53,516 -  Broadcasting and Content Providers,15055,Industry Use,3737.2182876733596
3,113 -  Forestry and Logging,54,517 -  Telecommunications,15055,Industry Use,19793.009569354323
3,113 -  Forestry and Logging,55,"518 -  Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",15055,Industry Use,98.13854205226038
3,113 -  Forestry and Logging,56,"519 -  Web Search Portals, Libraries, Archives, and Other Information Services",15055,Industry Use,12099.40490021034
3,113 -  Forestry and Logging,57,522 -  Credit Intermediation and Related Activities,15055,Industry Use,40933.6004332611
3,113 -  Forestry and Logging,58,"523 -  Securities, Commodity Contracts, and Other Financial Investments and Related Activities",15055,Industry Use,613.3131717795338
3,113 -  Forestry and Logging,59,521 -  Monetary Authorities-Central Bank,15055,Industry Use,377227.836316206
3,113 -  Forestry and Logging,60,524 -  Insurance Carriers and Related Activities,15055,Industry Use,32261.013483442057
3,113 -  Forestry and Logging,62,531 -  Real Estate,15055,Industry Use,101459.65584242156
3,113 -  Forestry and Logging,63,532 -  Rental and Leasing Services,15055,Industry Use,143432.07073887068
3,113 -  Forestry and Logging,65,"541 -  Professional, Scientific, and Technical Services",15055,Industry Use,76233.54277736339
3,113 -  Forestry and Logging,67,561 -  Administrative and Support Services,15055,Industry Use,16187.084732450689
3,113 -  Forestry and Logging,68,562 -  Waste Management and Remediation Services,15055,Industry Use,9.124346035413954
3,113 -  Forestry and Logging,77,721 -  Accommodation,15055,Industry Use,0.017953228838571648
3,113 -  Forestry and Logging,78,722 -  Food Services and Drinking Places,15055,Industry Use,23716.048053165843
3,113 -  Forestry and Logging,79,811 -  Repair and Maintenance,15055,Industry Use,237825.49617332508
3,113 -  Forestry and Logging,80,812 -  Personal and Laundry Services,15055,Industry Use,0.3897732302983964
3,113 -  Forestry and Logging,83,9A -  Government Enterprises,15055,Industry Use,11196.580323010661
3,113 -  Forestry and Logging,86,Vegetable and melon farming,15055,Industry Use,225033.37057242705
3,113 -  Forestry and Logging,87,Fruit farming,15055,Industry Use,173229.25195020586
3,113 -  Forestry and Logging,5001,Employee Compensation,15053,Factor Receipts,395556503.460004
3,113 -  Forestry and Logging,6001,Proprietor Income,15053,Factor Receipts,236825290.36710337
3,113 -  Forestry and Logging,7001,Other Property Type Income,15053,Factor Receipts,69348345.25916687
3,113 -  Forestry and Logging,8001,Tax on Production and Imports,15053,Factor Receipts,21601406.863891855
3,113 -  Forestry and Logging,10001,Households LT15k,15055,Industry Use,26.70796552033869
3,113 -  Forestry and Logging,10002,Households 15-30k,15055,Industry Use,35.171370732538094
3,113 -  Forestry and Logging,10003,Households 30-40k,15055,Industry Use,31.314409867049594
3,113 -  Forestry and Logging,10004,Households 40-50k,15055,Industry Use,24.17848977862809
3,113 -  Forestry and Logging,10005,Households 50-70k,15055,Industry Use,53.960854052574454
3,113 -  Forestry and Logging,10006,Households 70-100k,15055,Industry Use,184.29935531943315
3,113 -  Forestry and Logging,10007,Households 100-150k,15055,Industry Use,325.92167044608107
3,113 -  Forestry and Logging,10008,Households 150-200k,15055,Industry Use,372.8275200024823
3,113 -  Forestry and Logging,10009,Households GT200k,15055,Industry Use,943.3521152704451
3,113 -  Forestry and Logging,11001,Federal Government NonDefense,15055,Industry Use,194757.19656467842
3,113 -  Forestry and Logging,11003,Federal Government Investment,15055,Industry Use,73.51590707497154
3,113 -  Forestry and Logging,12001,State/Local Govt Other,15055,Industry Use,3494355.929468463
3,113 -  Forestry and Logging,12004,State/Local Govt Investment,15055,Industry Use,371.8677007379913
3,113 -  Forestry and Logging,14001,Capital,15055,Industry Use,491.6749507884745
3,113 -  Forestry and Logging,14002,Inventory Additions/Deletions,15055,Industry Use,7881.966529457914
3,113 -  Forestry and Logging,25001,Foreign Trade,15051,Commodity Trade,7402836.5247651
3,113 -  Forestry and Logging,28001,Domestic Trade,15051,Commodity Trade,1304828.0248652902
4,"114 -  Fishing, Hunting and Trapping",1,111 -  Crop Production,15055,Industry Use,177.57912190014835
4,"114 -  Fishing, Hunting and Trapping",2,112 -  Animal Production and Aquaculture,15055,Industry Use,194.50563269564398
